canonical_gene	manuscript_tier	screen	branch_tested	held_out_dataset	n_datasets_remaining	median_dataset_rank_delta	positive_dataset_fraction	robust_directional_support
NFIB	Tier 1 core convergent program	full_matrix	dentate	GSE292261	3	0.5	1.0	True
NFIB	Tier 1 core convergent program	full_matrix	dentate	GSE95752	3	0.5	1.0	True
PPP3CA	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	none	4	0.5	1.0	True
PPP3CA	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE104323	3	0.5	1.0	True
PPP3CA	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE214309	3	0.5	1.0	True
PPP3CA	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE292261	3	0.5	1.0	True
PPP3CA	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE95752	3	0.5	1.0	True
RFX3	Tier 1 core convergent program	full_matrix	dentate	none	4	0.5	1.0	True
RFX3	Tier 1 core convergent program	full_matrix	dentate	GSE104323	3	0.5	1.0	True
RFX3	Tier 1 core convergent program	full_matrix	dentate	GSE214309	3	0.5	1.0	True
RFX3	Tier 1 core convergent program	full_matrix	dentate	GSE292261	3	0.5	1.0	True
RFX3	Tier 1 core convergent program	full_matrix	dentate	GSE95752	3	0.5	1.0	True
ROBO2	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	none	4	0.5	1.0	True
ROBO2	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE104323	3	0.5	1.0	True
ROBO2	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE214309	3	0.5	1.0	True
ROBO2	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE292261	3	0.5	1.0	True
ROBO2	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE95752	3	0.5	1.0	True
STXBP5L	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	none	4	0.5	1.0	True
STXBP5L	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE104323	3	0.5	1.0	True
STXBP5L	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE214309	3	0.5	1.0	True
STXBP5L	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE292261	3	0.5	1.0	True
STXBP5L	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE95752	3	0.5	1.0	True
CACNA2D1	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	none	3	0.5	1.0	True
CACNA2D1	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	GSE122357	2	0.5	1.0	True
CACNA2D1	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	GSE165657	2	0.5	1.0	True
CACNA2D1	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	GSE312658	2	0.5	1.0	True
GABRA2	Tier 1 core convergent program	full_matrix	cerebellar	none	3	0.5	1.0	True
GABRA2	Tier 1 core convergent program	full_matrix	cerebellar	GSE122357	2	0.5	1.0	True
GABRA2	Tier 1 core convergent program	full_matrix	cerebellar	GSE165657	2	0.5	1.0	True
GABRA2	Tier 1 core convergent program	full_matrix	cerebellar	GSE312658	2	0.5	1.0	True
GABRB3	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	none	3	0.5	1.0	True
GABRB3	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	GSE122357	2	0.5	1.0	True
GABRB3	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	GSE165657	2	0.5	1.0	True
GABRB3	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	GSE312658	2	0.5	1.0	True
GPM6A	Tier 1 core convergent program	full_matrix	cerebellar	none	3	0.5	1.0	True
GPM6A	Tier 1 core convergent program	full_matrix	cerebellar	GSE122357	2	0.5	1.0	True
GPM6A	Tier 1 core convergent program	full_matrix	cerebellar	GSE165657	2	0.5	1.0	True
GPM6A	Tier 1 core convergent program	full_matrix	cerebellar	GSE312658	2	0.5	1.0	True
GRIN2B	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	none	3	0.5	1.0	True
GRIN2B	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	GSE122357	2	0.5	1.0	True
GRIN2B	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	GSE165657	2	0.5	1.0	True
GRIN2B	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	GSE312658	2	0.5	1.0	True
KCND2	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	none	3	0.5	1.0	True
KCND2	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	GSE122357	2	0.5	1.0	True
KCND2	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	GSE165657	2	0.5	1.0	True
KCND2	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	GSE312658	2	0.5	1.0	True
KCNJ3	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	none	3	0.5	1.0	True
